shift_seconds,pearson_r,vendor_medians_bpm
-10,0.24467167608405466,"[101.5, 99.0, 117.0, 85.5, 105.0, 86.0, 87.0]"
-9,0.14804809582074463,"[98.0, 100.0, 117.0, 80.0, 106.0, 84.0, 91.0]"
-8,0.03133029479957697,"[95.0, 105.0, 117.0, 78.0, 107.0, 84.0, 98.0]"
-7,-0.0974180437862831,"[89.0, 108.0, 115.0, 72.0, 109.0, 84.0, 101.0]"
-6,-0.15572191580490194,"[84.5, 110.0, 105.0, 69.5, 109.0, 84.0, 102.5]"
-5,-0.17778763283974816,"[81.0, 112.0, 99.0, 68.0, 109.0, 82.0, 102.5]"
-4,-0.17797414706595274,"[78.0, 113.0, 93.0, 66.0, 108.0, 80.0, 101.0]"
-3,-0.1534060821962826,"[76.0, 114.0, 87.0, 65.0, 106.0, 79.0, 95.0]"
-2,-0.17659542997422173,"[73.0, 114.0, 86.0, 64.0, 104.0, 77.0, 93.0]"
-1,-0.17688019189433818,"[71.0, 114.0, 82.0, 63.0, 103.0, 76.0, 91.0]"
0,-0.1963187265615654,"[68.0, 113.0, 82.0, 61.0, 102.0, 73.0, 90.0]"
1,-0.2013690104453937,"[66.0, 113.0, 81.0, 61.0, 101.0, 71.0, 87.0]"
2,-0.18382631320366397,"[66.0, 110.0, 81.0, 61.0, 100.0, 70.0, 82.0]"
3,-0.16749668984551175,"[66.5, 110.0, 84.0, 61.0, 99.0, 69.0, 80.0]"
4,-0.12482632071391385,"[69.0, 107.0, 83.5, 61.0, 99.0, 69.0, 80.0]"
5,0.006014823365969753,"[75.0, 107.0, 83.5, 61.0, 99.0, 69.0, 80.0]"
6,0.13153292802524788,"[81.0, 107.0, 82.0, 60.0, 99.0, 70.0, 83.0]"
7,0.23355984269200347,"[86.0, 107.0, 80.5, 60.0, 99.0, 73.0, 83.0]"
8,0.3268234187913261,"[91.0, 107.0, 78.0, 60.0, 100.5, 76.0, 83.0]"
9,0.36725934381273057,"[93.0, 107.0, 73.0, 60.0, 102.0, 77.0, 82.0]"
10,0.43629174300068807,"[97.0, 107.0, 71.0, 59.0, 104.0, 77.0, 80.0]"
