timestamp_s,resp_phase,subject_id,session_id,presence,label,breath_rpm,range_m,quality,signal_source,device_id
0.0000,-0.000000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
0.1000,-0.010000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
0.2000,-0.010000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
0.3000,-0.020000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
0.4000,-0.030000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
0.5000,-0.040000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
0.6000,-0.040000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
0.7000,-0.040000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
0.8000,-0.050000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
0.9000,-0.040000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
1.0000,-0.040000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
1.1000,-0.030000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
1.2000,-0.030000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
1.3000,-0.030000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
1.4000,-0.020000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
1.5000,-0.020000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
1.6000,-0.010000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
1.7000,-0.010000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
1.8000,-0.000000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
1.9000,0.010000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
2.0000,0.010000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
2.1000,0.020000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
2.2000,0.020000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
2.3000,0.020000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
2.4000,0.020000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
2.5000,0.020000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
2.6000,0.000000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
2.7000,-0.010000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
2.8000,-0.040000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
2.9000,-0.070000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
3.0010,-0.110000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
3.1010,-0.130000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
3.2010,-0.140000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
3.3010,-0.160000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
3.4010,-0.170000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
3.5010,-0.160000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
3.6010,-0.150000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,,0.4592,,MR60BHA2_breath_phase,safenest-node-01
3.7010,-0.120000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,1.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
3.8010,-0.100000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,1.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
3.9010,-0.050000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,1.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
4.0010,0.010000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,1.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
4.1010,0.050000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,1.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
4.2010,0.110000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,1.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
4.3010,0.140000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,1.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
4.4010,0.190000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,1.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
4.5010,0.210000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,1.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
4.6020,0.220000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,1.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
4.7020,0.210000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,3.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
4.8030,0.190000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,4.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
4.9030,0.170000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,5.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
5.0030,0.140000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,6.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
5.1030,0.100000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,7.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
5.2030,0.090000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,7.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
5.3030,0.070000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,8.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
5.4030,0.070000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,8.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
5.5030,0.080000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,9.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
5.6030,0.110000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,10.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
5.7030,0.120000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,10.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
5.8030,0.160000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,11.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
5.9030,0.170000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,11.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
6.0030,0.200000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,12.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
6.1030,0.220000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,12.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
6.2030,0.220000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,12.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
6.3030,0.210000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,12.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
6.4030,0.200000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,12.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
6.5030,0.150000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,12.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
6.6030,0.080000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,12.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
6.7030,-0.010000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,12.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
6.8030,-0.060000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,12.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
6.9030,-0.170000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,13.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
7.0030,-0.220000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,13.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
7.1030,-0.310000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,13.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
7.2030,-0.380000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,13.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
7.3030,-0.410000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,13.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
7.4030,-0.430000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,13.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
7.5030,-0.440000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,14.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
7.6030,-0.420000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,14.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
7.7030,-0.370000,S001,S001_ENTRY_EXIT_01,1,PRESENCE_TRANSITION,14.00,0.4592,,MR60BHA2_breath_phase,safenest-node-01
