timestamp_s,resp_phase,subject_id,session_id,presence,label,breath_rpm,range_m,quality,signal_source,device_id
0.0000,0.000000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
0.1000,-0.020000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
0.2000,-0.030000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
0.3000,-0.040000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
0.4000,-0.040000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
0.5010,-0.030000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
0.6010,-0.030000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
0.7010,-0.000000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
0.8010,0.030000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
0.9010,0.050000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
1.0010,0.100000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
1.1010,0.160000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
1.2010,0.190000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
1.3010,0.240000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
1.4010,0.290000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
1.5020,0.310000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
1.6020,0.340000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
1.7020,0.340000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
1.8020,0.340000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
1.9020,0.320000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
2.0020,0.280000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
2.1020,0.260000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,20.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
2.2020,0.200000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
2.3020,0.160000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
2.4020,0.090000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
2.5020,0.010000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
2.6020,-0.070000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
2.7020,-0.110000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
2.8020,-0.180000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
2.9020,-0.210000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
3.0020,-0.270000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,21.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
3.1020,-0.310000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
3.2020,-0.330000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
3.3020,-0.340000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
3.4020,-0.340000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
3.5020,-0.330000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
3.6020,-0.300000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
3.7020,-0.260000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
3.8030,-0.210000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
3.9030,-0.180000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
4.0030,-0.130000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
4.1030,-0.100000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
4.2030,-0.050000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
4.3030,-0.010000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
4.4030,0.010000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
4.5030,0.040000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
4.6030,0.060000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
4.7030,0.060000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,22.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
4.8030,0.070000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,23.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
4.9030,0.070000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,23.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
5.0040,0.070000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,23.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
5.1040,0.060000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,23.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
5.2040,0.060000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,23.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
5.3040,0.040000,S001,S001_BREATH_PACED_20_04,1,BREATH_PACED_20,23.00,0.8610,,MR60BHA2_breath_phase,safenest-node-01
